Файл,Номенклатура,Количество,Масса,Завод изготовитель
"Спека, уч1-2",,,,
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50 (""Узел А"")",362.3,4.51,"""ПОЛИПЛАСТИК"""
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50 (""Узел В"")",25.7,4.51,"""ПОЛИПЛАСТИК"""
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50",387.3,4.51,"""ПОЛИПЛАСТИК"""
,"Футляр ПНД SDR17 ∅400х23,7 L=48,70м",48.7,28.0,"""ПОЛИПЛАСТИК"""
,"Футляр ПНД SDR17 ∅400х23,7 L=32,80м",32.8,28.0,"""ПОЛИПЛАСТИК"""
,Муфта защитная для ПЭ трубы ∅160,5.0,,
,Отвод сварной двухсекционный 90° ∅160,3.0,,
,Тройник сварной равнопроходной ПЭ100 SDR17 ∅160х160,1.0,,
,Втулка под фланец SDR17 ∅160,1.0,,
,"Фланец стальной накидной 1,0МПа Dу150",1.0,,
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50 (""Узел А"")",373.2,4.51,
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50 (""Узел В"")",20.9,4.51,
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 315 х18,7 (""Узел В"")",5.0,17.4,
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50",389.6,4.51,
,Муфта защитная для ПЭ трубы ∅160,5.0,,
,Муфта защитная для ПЭ трубы ∅315,2.0,,
,Отвод сварной двухсекционный 90° ∅160,8.0,,
,Отвод сварной двухсекционный 45° ∅160,9.0,,
,Тройник сварной равнопроходной ПЭ100 SDR17 ∅160х160,1.0,,
,Втулка под фланец SDR17 ∅160,1.0,,
,"Фланец стальной накидной 1,0МПа Dу150",1.0,,
,"Футляр ПНД SDR17 ∅400х23,7 L=46,40м",46.4,28.0,"""ПОЛИПЛАСТИК"""
Спека 3,,,,
,"руба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50",37.0,4.51,"""ПОЛИПЛАСТИК"""
,"Труба МУЛЬТИКЛИН ЭКО RC ПЭ100 SDR17 - 160 х9,50",197.0,4.51,"""ПОЛИПЛАСТИК"""
